#trial,samples,#result,age,education-num
19,128,0,3.0,1.0
20,2048,0,19.0,14.0
20,2048,1,52.0,11.0
20,1024,0,10.0,3.0
20,512,0,23.0,14.0
20,512,1,25.0,12.0
20,512,2,26.0,11.0
20,512,3,58.0,10.0
21,2048,0,20.0,14.0
21,2048,1,41.0,7.0
21,2048,2,86.0,5.0
21,1024,0,10.0,2.0
21,512,0,20.0,14.0
21,512,1,53.0,12.0
21,256,0,2.0,3.0
21,128,0,5.0,8.0
21,128,1,29.0,6.0
21,128,2,50.0,4.0
22,2048,0,22.0,14.0
22,2048,1,48.0,12.0
22,2048,2,103.0,11.0
22,1024,0,12.0,7.0
22,1024,1,20.0,3.0
22,512,0,53.0,11.0
22,512,1,58.0,10.0
22,512,2,59.0,8.0
22,512,3,76.0,5.0
22,512,4,82.0,4.0
22,256,0,3.0,3.0
22,128,0,3.0,3.0
23,2048,0,22.0,14.0
23,2048,1,42.0,11.0
23,2048,2,50.0,8.0
23,2048,3,99.0,7.0
23,2048,4,105.0,6.0
23,1024,0,22.0,14.0
23,1024,1,42.0,11.0
23,1024,2,48.0,8.0
23,1024,3,99.0,7.0
23,1024,4,127.0,6.0
23,512,0,33.0,8.0
23,512,1,44.0,4.0
23,512,2,65.0,3.0
23,256,0,19.0,14.0
23,256,1,25.0,8.0
23,256,2,60.0,7.0
23,256,3,63.0,6.0
23,128,0,5.0,8.0
23,128,1,41.0,6.0
23,128,2,79.0,4.0
24,2048,0,19.0,14.0
24,2048,1,36.0,9.0
24,2048,2,42.0,5.0
24,1024,0,38.0,9.0
24,1024,1,42.0,5.0
24,1024,2,134.0,4.0
24,512,0,38.0,12.0
24,512,1,40.0,5.0
24,512,2,53.0,4.0
24,256,0,2.0,3.0
24,128,0,2.0,3.0
25,2048,0,22.0,14.0
25,2048,1,48.0,12.0
25,1024,0,8.0,12.0
25,1024,1,16.0,8.0
25,512,0,13.0,14.0
25,512,1,124.0,11.0
25,256,0,22.0,14.0
25,256,1,41.0,13.0
25,256,2,43.0,11.0
25,256,3,52.0,9.0
25,256,4,59.0,8.0
25,256,5,82.0,7.0
25,256,6,85.0,5.0
26,2048,0,4.0,3.0
26,2048,1,12.0,1.0
26,1024,0,28.0,11.0
26,1024,1,51.0,8.0
26,1024,2,55.0,6.0
26,512,0,20.0,14.0
26,512,1,41.0,12.0
26,512,2,51.0,7.0
26,512,3,61.0,6.0
26,256,0,30.0,16.0
26,256,1,40.0,15.0
26,256,2,94.0,12.0
26,128,0,15.0,10.0
26,128,1,43.0,9.0
26,128,2,59.0,7.0
26,128,3,86.0,6.0
27,2048,0,4.0,3.0
27,1024,0,17.0,14.0
27,512,0,18.0,14.0
27,512,1,41.0,11.0
27,512,2,44.0,10.0
27,256,0,17.0,17.0
27,256,1,18.0,14.0
27,256,2,41.0,12.0
27,256,3,54.0,8.0
27,128,0,41.0,12.0
27,128,1,54.0,8.0
28,2048,0,9.0,8.0
28,2048,1,36.0,4.0
28,1024,0,37.0,9.0
28,1024,1,45.0,8.0
28,1024,2,52.0,4.0
28,512,0,5.0,10.0
28,512,1,51.0,9.0
28,512,2,68.0,6.0
28,256,0,19.0,16.0
28,256,1,20.0,14.0
28,256,2,22.0,8.0
28,256,3,29.0,3.0
28,128,0,29.0,3.0
29,2048,0,1.0,0.0
29,1024,0,1.0,0.0
29,512,0,1.0,0.0
29,256,0,1.0,0.0
29,128,0,1.0,0.0
30,2048,0,24.0,10.0
30,2048,1,43.0,8.0
30,2048,2,168.0,7.0
30,2048,3,174.0,6.0
30,1024,0,23.0,14.0
30,1024,1,54.0,12.0
30,512,0,38.0,26.0
30,512,1,40.0,22.0
30,512,2,44.0,12.0
30,512,3,66.0,11.0
30,512,4,91.0,10.0
30,512,5,93.0,9.0
30,512,6,156.0,8.0
30,256,0,14.0,10.0
30,256,1,40.0,7.0
30,256,2,78.0,6.0
30,256,3,85.0,5.0
30,256,4,88.0,4.0
30,128,0,5.0,14.0
30,128,1,8.0,8.0
31,2048,0,43.0,5.0
31,512,0,30.0,13.0
31,512,1,39.0,12.0
31,512,2,127.0,11.0
31,256,0,1.0,3.0
31,128,0,19.0,8.0
31,128,1,38.0,3.0
31,128,2,52.0,2.0
